"response","cum.response","point.pred","point.pred.lower","point.pred.upper","cum.pred","cum.pred.lower","cum.pred.upper","point.effect","point.effect.lower","point.effect.upper","cum.effect","cum.effect.lower","cum.effect.upper"
8.61566666666667,8.61566666666667,7.85421947681539,7.04611206807484,8.67377133986999,8.61566666666667,8.61566666666667,8.61566666666667,0.761447189851279,-0.0581046732033261,1.56955459859182,0,0,0
9.01466666666667,17.6303333333333,8.69894683480733,7.84155800691564,9.50569865622229,17.6303333333333,17.6303333333333,17.6303333333333,0.315719831859337,-0.491031989555619,1.17310865975103,0,0,0
7.17591666666667,24.80625,8.20320716111301,7.43222962292598,8.93693295659568,24.80625,24.80625,24.80625,-1.02729049444634,-1.76101628992901,-0.256312956259316,0,0,0
7.98091666666667,32.7871666666667,8.19838476785289,7.40900078466744,8.88592109661876,32.7871666666667,32.7871666666667,32.7871666666667,-0.217468101186221,-0.905004429952093,0.571915881999229,0,0,0
7.5205,40.3076666666667,7.77488909499763,6.92711713792899,8.56491008897499,40.3076666666667,40.3076666666667,40.3076666666667,-0.254389094997634,-1.04441008897499,0.593382862071009,0,0,0
8.28916666666667,48.5968333333333,8.35228592104016,7.65323721737076,9.18114234428845,48.5968333333333,48.5968333333333,48.5968333333333,-0.0631192543734898,-0.89197567762178,0.635929449295907,0,0,0
8.7205,57.3173333333333,8.42635851897946,7.67319228711853,9.17909034182554,57.3173333333333,57.3173333333333,57.3173333333333,0.294141481020542,-0.458590341825541,1.04730771288147,0,0,0
8.08016666666667,65.3975,8.17440938571928,7.42627019948701,8.92627349360106,65.3975,65.3975,65.3975,-0.0942427190526125,-0.846106826934395,0.653896467179653,0,0,0
8.37158333333333,73.7690833333333,8.26823607158913,7.48321084330147,9.02146031930587,73.7690833333333,73.7690833333333,73.7690833333333,0.103347261744203,-0.649876985972535,0.888372490031859,0,0,0
7.40658333333333,81.1756666666667,8.0072427028744,7.25336963163426,8.69927821219492,81.1756666666667,81.1756666666667,81.1756666666667,-0.600659369541063,-1.29269487886159,0.15321370169907,0,0,0
8.78275,89.9584166666667,8.18593903967876,7.45790466927056,8.89118471731169,89.9584166666667,89.9584166666667,89.9584166666667,0.596810960321235,-0.108434717311694,1.32484533072944,0,0,0
7.59575,97.5541666666667,8.67903539040957,7.87119286768054,9.49740832480296,97.5541666666667,97.5541666666667,97.5541666666667,-1.08328539040957,-1.90165832480296,-0.27544286768054,0,0,0
8.35316666666667,105.907333333333,8.06799321212687,7.28208505269545,8.86849559719184,105.907333333333,105.907333333333,105.907333333333,0.285173454539796,-0.515328930525175,1.07108161397122,0,0,0
7.70375,113.611083333333,8.36235700715231,7.56577120366193,9.03536454674769,113.611083333333,113.611083333333,113.611083333333,-0.658607007152313,-1.33161454674769,0.137978796338066,0,0,0
9.56966666666667,123.18075,8.83956561781429,7.95201232581118,9.69211433134293,123.18075,123.18075,123.18075,0.730101048852378,-0.122447664676265,1.61765434085549,0,0,0
8.47166666666667,131.652416666667,8.19082174868208,7.48442250400827,8.962975730007,131.652416666667,131.652416666667,131.652416666667,0.280844917984592,-0.491309063340328,0.987244162658395,0,0,0
8.47641666666667,140.128833333333,8.29862301219869,7.54426430332656,9.09916620309109,140.128833333333,140.128833333333,140.128833333333,0.177793654467976,-0.622749536424427,0.93215236334011,0,0,0
8.71191666666667,148.84075,8.1841733039826,7.48240396543618,8.94807308069055,148.84075,148.84075,148.84075,0.527743362684072,-0.236156414023885,1.22951270123049,0,0,0
8.80833333333333,157.649083333333,8.62784960850552,7.80941655484948,9.39215964037657,157.468599608506,156.650166554849,158.232909640377,0.180483724827811,-0.583826307043239,0.998916778483853,0.180483724827781,-0.583826307043267,0.998916778483846
8.45216666666667,166.10125,8.52920122638666,7.76238925657602,9.26682991670538,165.997800834892,164.708054256078,167.095346621879,-0.0770345597199906,-0.814663250038713,0.689777410090645,0.103449165107804,-0.994096621878668,1.39319574392175
6.62508333333333,172.726333333333,8.40313784881413,7.64486341201359,9.21053789828062,174.400938683706,172.811888960328,175.843834900611,-1.7780545154808,-2.58545456494728,-1.01978007868025,-1.67460535037299,-3.11750156727794,-0.085555626994676
7.13958333333333,179.865916666667,8.5043182558159,7.68208558703331,9.27662514866901,182.905256939522,181.089980059579,184.587897880471,-1.36473492248257,-2.13704181533568,-0.542502253699978,-3.03934027285558,-4.72198121380458,-1.22406339291237
7.2385,187.104416666667,8.29671044279613,7.60033386416999,8.99386027395737,191.201967382318,189.118564978537,193.051227387494,-1.05821044279613,-1.75536027395737,-0.36183386416999,-4.09755071565166,-5.94681072082759,-2.01414831186997
8.9215,196.025916666667,8.34726135299338,7.55719343127073,9.0894554621152,199.549228735312,197.152848650372,201.653514876704,0.574238647006618,-0.167955462115199,1.36430656872927,-3.52331206864508,-5.62759821003718,-1.12693198370573
8.31758333333333,204.3435,8.28430840311661,7.509200434592,9.0092303928516,207.833537138428,205.28730579567,210.197193058011,0.0332749302167183,-0.691647059518262,0.808382898741334,-3.49003713842836,-5.85369305801146,-0.943805795670244
8.9005,213.244,8.14851888799548,7.39389381505454,8.91005392020588,215.982056026424,213.208263441817,218.525010272744,0.751981112004524,-0.00955392020587986,1.50660618494546,-2.73805602642383,-5.28101027274354,0.0357365581830322
8.38333333333333,221.627333333333,8.45284667163911,7.64286060829837,9.20300342660155,224.434902698063,221.394067027032,227.273049657182,NA,NA,NA,NA,NA,NA
