year,response,cum.response,point.pred,point.pred.lower,point.pred.upper,cum.pred,cum.pred.lower,cum.pred.upper,point.effect,point.effect.lower,point.effect.upper,cum.effect,cum.effect.lower,cum.effect.upper,,Absolute Error,MAPE
1920,12.2135,12.2135,12.04766493,11.75078399,12.32658934,12.2135,12.2135,12.2135,0.165835065,-0.11308934,0.462716008,0,0,0,,0.013764913,1.261374881
1921,11.57175,23.78525,11.7073604,11.43295899,11.98472616,23.78525,23.78525,23.78525,-0.135610396,-0.412976156,0.138791014,0,0,0,,0.011583345,
1922,12.07841667,35.86366667,11.95444646,11.64885837,12.2188588,35.86366667,35.86366667,35.86366667,0.123970209,-0.140442133,0.429558294,0,0,0,,0.010370217,
1923,11.9085,47.77216667,11.64384467,11.37823288,11.91597645,47.77216667,47.77216667,47.77216667,0.264655333,-0.007476454,0.530267117,0,0,0,,0.022729205,
1924,11.64241667,59.41458333,11.73156997,11.45756238,12.02265352,59.41458333,59.41458333,59.41458333,-0.089153303,-0.380236853,0.18485429,0,0,0,,0.007599435,
1925,11.75858333,71.17316667,11.64992498,11.36273584,11.93489134,71.17316667,71.17316667,71.17316667,0.108658356,-0.176308003,0.395847496,0,0,0,,0.009326958,
1926,11.30241667,82.47558333,11.57381205,11.28132742,11.87782248,82.47558333,82.47558333,82.47558333,-0.27139538,-0.575405812,0.021089242,0,0,0,,0.023449092,
1927,11.7355,94.21108333,11.8101829,11.52135573,12.08400779,94.21108333,94.21108333,94.21108333,-0.074682904,-0.348507789,0.214144273,0,0,0,,0.006323603,
1928,12.05791667,106.269,11.83403576,11.54657489,12.10211303,106.269,106.269,106.269,0.223880907,-0.044196361,0.511341774,0,0,0,,0.01891839,
1929,11.77491667,118.0439167,11.96382965,11.67551261,12.25107229,118.0439167,118.0439167,118.0439167,-0.18891298,-0.476155622,0.099404052,0,0,0,,0.015790344,
1930,12.29275,130.3366667,12.17748216,11.8892902,12.4947068,130.3366667,130.3366667,130.3366667,0.115267837,-0.201956804,0.403459797,0,0,0,,0.009465654,
1931,11.48908333,141.82575,11.68055828,11.41487805,11.99146505,141.82575,141.82575,141.82575,-0.191474946,-0.502381717,0.07420528,0,0,0,,0.016392619,
1932,11.98275,153.8085,11.96396941,11.68027002,12.26518709,153.8085,153.8085,153.8085,0.018780592,-0.282437095,0.302479982,0,0,0,,0.001569763,
1933,11.95316667,165.7616667,11.80699805,11.51506038,12.07586548,165.7616667,165.7616667,165.7616667,0.146168619,-0.122698817,0.43810629,0,0,0,,0.012379829,
1934,11.49875,177.2604167,11.61480756,11.34314359,11.92303182,177.2604167,177.2604167,177.2604167,-0.11605756,-0.424281821,0.155606406,0,0,0,,0.009992207,
1935,11.89308333,189.1535,12.16010954,11.85950177,12.44594503,189.1535,189.1535,189.1535,-0.267026211,-0.552861701,0.033581563,0,0,0,,0.021959195,
1936,11.5475,200.701,11.38108395,11.06851204,11.70023548,200.701,200.701,200.701,0.166416048,-0.152735477,0.478987964,0,0,0,,0.014622162,
1937,12.21116667,212.9121667,12.18914637,11.910426,12.49310917,212.9121667,212.9121667,212.9121667,0.022020295,-0.281942507,0.300740666,0,0,0,,0.001806549,
1938,12.08116667,224.9933333,11.94242261,11.67766423,12.2112967,224.8545893,224.5898309,225.1234634,0.138744057,-0.130130034,0.403502433,0.138744057,-0.130130034,0.403502433,,0.011617748,
intervention,,,,,,,,,,,,,,,,,
1939,12.08408333,237.0774167,12.23421118,11.93517174,12.54404092,237.0888005,236.652252,237.5186125,-0.150127844,-0.459957583,0.148911597,-0.011383787,-0.44119586,0.425164637,,,
1940,11.98725,249.0646667,11.86110302,11.59701453,12.14313407,248.9499035,248.4623934,249.4820599,0.12614698,-0.155884072,0.390235472,0.114763193,-0.417393219,0.602273228,,,
1941,11.9185,260.9831667,11.93920589,11.64896934,12.23393416,260.8891094,260.2387929,261.5389232,-0.020705894,-0.315434163,0.269530661,0.0940573,-0.555756514,0.744373746,,,
1942,12.00216667,272.9853333,11.97825096,11.70193787,12.25563263,272.8673603,272.1848728,273.576299,0.023915702,-0.253465962,0.300228792,0.117973002,-0.590965676,0.80046058,,,
1943,11.99483333,284.9801667,12.05929502,11.77169811,12.35471675,284.9266554,284.0912507,285.752701,-0.064461691,-0.359883421,0.223135222,0.053511311,-0.772534292,0.888915966,,,
1944,11.69216667,296.6723333,11.86712485,11.60348471,12.13288548,296.7937802,295.9066689,297.668335,-0.174958179,-0.440718813,0.088681957,-0.121446868,-0.996001694,0.76566444,,,
1945,11.13883333,307.8111667,11.52603856,11.20758945,11.78592926,308.3198188,307.3930762,309.2241347,-0.38720523,-0.647095931,-0.06875612,-0.508652098,-1.412968056,0.418090444,,,
1946,12.36066667,320.1718333,12.11952298,11.78928416,12.4335174,320.4393417,319.3638613,321.5106433,NA,NA,NA,NA,NA,NA,,,
